Matrix_iterations,Hidden,Lambda,Start time,End time,Execution time,train_accuracy,validation_accuracy,test_accuracy
150,4,0,0:02:22,0:03:56,94.02,75.15%,73.28%,73.81%
150,4,5,0:03:56,0:05:31,94.96,68.41%,67.61%,68.22%
150,4,10,0:05:31,0:07:09,97.71,64.56%,62.79%,63.33%
150,4,15,0:07:09,0:08:34,85.16,84.61%,83.26%,84.25%
150,4,20,0:08:34,0:10:08,93.81,81.31%,80.04%,80.85%
150,4,25,0:10:08,0:11:36,87.72,85.24%,83.77%,85.00%
150,4,30,0:11:36,0:13:04,88.49,77.65%,75.75%,77.66%
150,4,35,0:13:04,0:14:36,92.01,82.20%,81.32%,82.20%
150,4,40,0:14:36,0:16:09,93.07,79.10%,77.70%,79.02%
150,4,45,0:16:09,0:17:45,95.45,78.70%,78.09%,78.61%
150,4,50,0:17:45,0:19:44,119.66,84.64%,83.68%,84.80%
150,4,55,0:19:44,0:21:53,128.65,80.24%,78.77%,79.97%
150,4,60,0:21:53,0:23:26,92.84,78.97%,76.84%,78.54%
150,8,0,0:23:26,0:25:13,107.08,91.43%,89.76%,90.02%
150,8,5,0:25:13,0:27:06,112.74,92.40%,90.89%,91.78%
150,8,10,0:27:06,0:28:53,107.39,91.47%,90.30%,90.81%
150,8,15,0:28:53,0:30:32,99.4,91.09%,89.81%,90.99%
150,8,20,0:30:32,0:32:27,114.97,92.26%,91.07%,91.90%
150,8,25,0:32:27,0:34:16,108.47,91.23%,90.25%,91.13%
150,8,30,0:34:16,0:36:05,109.02,91.89%,91.01%,91.23%
150,8,35,0:36:05,0:37:50,104.81,90.94%,90.11%,90.49%
150,8,40,0:37:50,0:39:29,99.13,91.20%,90.40%,90.82%
150,8,45,0:39:29,0:41:13,104.35,91.37%,90.44%,90.53%
150,8,50,0:41:13,0:42:49,96.06,90.79%,89.74%,90.75%
150,8,55,0:42:49,0:44:27,97.34,90.35%,89.26%,90.06%
150,8,60,0:44:27,0:46:00,93.5,91.32%,90.60%,91.30%
150,12,0,0:46:00,0:47:51,111.14,94.57%,92.67%,92.88%
150,12,5,0:47:51,0:49:43,111.66,94.47%,92.49%,93.52%
150,12,10,0:49:43,0:51:37,114.07,93.71%,92.19%,92.79%
150,12,15,0:51:37,0:53:46,128.85,94.25%,92.96%,93.44%
150,12,20,0:53:46,0:55:47,121.02,93.92%,92.76%,93.43%
150,12,25,0:55:47,0:57:35,108.33,93.45%,92.61%,93.24%
150,12,30,0:57:35,0:59:39,123.59,93.74%,92.75%,93.48%
150,12,35,0:59:39,1:01:41,122.69,92.90%,92.14%,92.54%
150,12,40,1:01:41,1:03:44,122.42,93.34%,92.69%,92.99%
150,12,45,1:03:44,1:05:47,123.41,92.61%,91.91%,92.32%
150,12,50,1:05:47,1:07:47,119.3,92.75%,92.06%,92.57%
150,12,55,1:07:47,1:09:52,124.98,92.73%,91.71%,92.45%
150,12,60,1:09:52,1:11:51,119.51,92.39%,91.35%,92.16%
150,16,0,1:11:51,1:13:53,122.26,96.57%,93.50%,94.00%
150,16,5,1:13:53,1:16:07,133.77,95.63%,94.04%,94.38%
150,16,10,1:16:07,1:18:16,128.49,95.27%,94.08%,94.37%
150,16,15,1:18:16,1:20:24,128.66,95.45%,94.06%,94.43%
150,16,20,1:20:24,1:22:36,131.94,94.88%,93.64%,94.20%
150,16,25,1:22:36,1:24:47,131.07,94.65%,93.78%,94.03%
150,16,30,1:24:47,1:26:57,129.64,94.48%,93.55%,94.01%
150,16,35,1:26:57,1:29:08,130.91,94.21%,93.51%,93.95%
150,16,40,1:29:08,1:31:25,137.58,93.90%,93.09%,93.72%
150,16,45,1:31:25,1:33:23,117.84,93.74%,93.00%,93.63%
150,16,50,1:33:23,1:35:23,119.85,93.40%,92.66%,93.35%
150,16,55,1:35:23,1:37:44,141.03,93.25%,92.50%,93.07%
150,16,60,1:37:44,1:40:04,139.66,93.38%,92.57%,93.36%
150,20,0,1:40:04,1:42:26,142.46,97.22%,94.87%,95.12%
150,20,5,1:42:26,1:44:59,153.05,96.61%,94.49%,95.41%
150,20,10,1:44:59,1:47:37,157.77,96.22%,94.93%,95.32%
150,20,15,1:47:37,1:50:04,147.1,95.68%,94.53%,95.00%
150,20,20,1:50:04,1:52:32,147.74,95.30%,94.27%,94.47%
150,20,25,1:52:32,1:54:56,144.18,95.33%,94.20%,94.88%
150,20,30,1:54:56,1:57:07,131.13,94.79%,93.90%,94.35%
150,20,35,1:57:07,1:59:20,133.09,94.72%,94.14%,94.44%
150,20,40,1:59:20,2:01:33,132.81,94.54%,93.65%,94.07%
150,20,45,2:01:33,2:03:45,131.5,94.13%,93.01%,93.94%
